id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
3798,2023-11-23,PAPABEAR,Token,,120648.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3799,2023-11-28,Florence Finance,Borrowing and Lending,,1456162.0,0.0,0.0,Phishing,Exploit/Phishing,2023
3804,2023-11-23,AISurf,Token,,112050.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3805,2023-11-24,Changpeng Zhao,Token,,454168.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3806,2023-11-24,SQUID GAME,Token,,55539.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3807,2023-11-27,Expanso,Token,,87558.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3808,2023-12-06,Abattoir of Zir,Token,,225553.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3809,2023-12-07,Herencia Artifex,"NFT,Token",,29586973.0,0.0,0.0,Other,Exploit/Other,2023
3810,2023-12-01,MYX Finance,Token,,119888.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3811,2023-11-28,Symbiogenesis,Token,,53639.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3812,2023-11-28,AssetClub,Token,,83874.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3813,2023-12-11,stoicDAO,Token,,204746.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3814,2023-12-06,Strong Finance,Token,,61081.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3815,2023-12-06,EI Risitas,Token,,52351.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3816,2023-12-12,OKX,Exchange (DEX),,2390976.0,0.0,0.0,Access Control,Exploit/Access control,2023
3817,2023-12-05,CKD TOKEN,Token,,485176.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2023
3818,2023-11-30,Carol Protocol,Other,,61164.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
3819,2023-12-06,Time,Token,,200000.0,0.0,0.0,Other,Exploit/Other,2023
3820,2023-12-06,BearnDAO,Other,,768363.0,0.0,0.0,Other,Exploit/Other,2023
3821,2023-12-16,GoodDollars,Other,,627919.0,0.0,0.0,Flash Loan Attack,Exploit/Flash Loan Attack,2023
